profession_id;profession_name;parent_id;category_name
76;Primeur;1;Fruits & légumes
12;Aéroport - Aérodrome;1;Aéroport - Aérodrome
611;Vins et spiritueux;1;Vins et spiritueux
14;Alimentation;1;Alimentation
15;Ameublement;1;Ameublement
16;Animalerie;1;Animalerie
17;Auberge de jeunesse;1;Auberge de jeunesse
18;Bar - Pub;1;Bar - Pub
19;Bijouterie - Horlogerie;1;Bijouterie - Horlogerie
20;Boucherie - Charcuterie;1;Boucherie - Charcuterie
21;Boulangerie - Pâtisserie;1;Boulangerie - Pâtisserie
22;Bricolage (magasin);1;Bricolage (magasin)
23;Camping;1;Camping
24;Centre Commercial;1;Centre Commercial
25;Chambre d'hôtes;1;Chambre d'hôtes
26;Charcuterie;1;Charcuterie
27;Chasse et pêche;1;Chasse et pêche
28;Chaussures;1;Chaussures
29;Chocolaterie;1;Chocolaterie
30;Bien-être;1;Bien-être
31;Concession (autres);1;Concession (autres)
32;Concession automobile;1;Concession automobile
33;Concession deux roues;1;Concession deux roues
34;Confiserie - Chocolaterie;1;Confiserie - Chocolaterie
610;Supérettes;1;Supérettes
36;Cosmétique - Parfum;1;Cosmétique - Parfum
37;Cuisine;1;Cuisine
38;Décoration (magasin);1;Décoration (magasin)
39;Discothèque;1;Discothèque
40;Ecole de conduite;1;Ecole de conduite
41;Electroménager;1;Electroménager
42;Epicerie;1;Epicerie
43;Fast-food;1;Fast-food
44;Fleuriste;1;Fleurs
45;Fruits et légumes;1;Fruits &légumes
600;Art - Antiquités;1;Art - Antiquités
47;Horlogerie;1;Horlogerie
48;Hôtel - Hébergement;1;Hôtel - Hébergement
49;Jardinerie;1;Jardinerie
50;Jeux et jouets;1;Jeux et jouets
51;Papeterie;1;Papeterie
52;Lavage auto;1;Lavage auto
588;Auberge;1;Auberge
54;Librairie;1;Librairie
55;Location (autres);1;Location (autres)
56;Location de DVD, livres, musique;1;Location de DVD, livres, musique
57;Location d'hiver;1;Location d'hiver
58;Location de véhicules;1;Location de véhicules
59;Location d'équipement;1;Location d'équipement
60;Location immobilière;1;Location immobilière
61;Location informatique;1;Location informatique
62;Informatique - Multimédia (magasin);1;Informatique - Multimédia (magasin)
609;Pièces automobile;1;Pièces automobile
64;Maroquinerie;1;Maroquinerie
65;Mobilier;1;Mobilier
66;Moquetterie;1;Moquetterie
67;Multimédia;1;Multimédia
68;Musique (magasin);1;Musique (magasin)
69;Occasion (autres);1;Occasion (autres)
70;Opticien;1;Optique
71;Parfumerie;1;Parfumerie
72;Parking;1;Parking
73;Pâtisserie;1;Pâtisserie
74;Pizzeria;1;Pizzeria
75;Poissonnerie;1;Poissonnerie
11;Aérodrome;1;Aérodrome
77;Quincaillerie;1;Quincaillerie
78;Restaurant;1;Restauration
589;Alimentation animale;1;Alimentation animale
80;Salle de bain;1;Salle de bain
81;Salles de spectacles;1;Salles de spectacles
608;Mode;1;Mode
606;Droguerie;1;Droguerie
84;Sex shop;1;Sex shop
85;Sport et loisirs (magasin);1;Sport et loisirs (magasin)
86;Station Service;1;Station Service
87;Super & Hypermarchés;1;Super & Hypermarchés
88;Supérette;1;Supérette
89;Surgelé;1;Surgelé
90;Tabac - Journaux;1;Tabac - Journaux
605;Casino;1;Casino
92;Téléphonie;1;Téléphonie
93;Textile - Mercerie;1;Textile - Mercerie
94;Traiteur;1;Service traiteur
604;Café - Brasserie;1;Café - Brasserie
96;Autres Commerces & Restauration;1;Autres Commerces & Restauration
603;Cadeaux;1;Cadeaux
602;Bureautique;1;Bureautique
601;Bio;1;Bio
46;Habillement - Chaussure;1;Habillement - Chaussure
101;Carrossier;2;Carrosserie
102;Casse automobile;2;Casse automobile
103;Charpentier;2;Charpente
104;Chauffagiste;2;Chauffage
105;Cordonnier;2;Cordonnerie
106;Couvreur - Zingueur;2;Couverture - Zinguerie
107;Cuisiniste;2;Cuisine (installation)
108;Dépanneur véhicule;2;Dépannage véhicule
109;Designeur d'intérieur;2;Design d'intérieur
110;Diamantaire;2;Diamant
111;Doreur;2;Or
112;Ebéniste;2;Ebénisterie
113;Electricien;2;Electricité
114;Etanchéité;2;Etanchéité
115;Forgeron - Ferronnier;2;Ferronerie
116;Garagiste;2;Garage
117;Géomètre;2;Géomètrie
118;Isolation;2;Isolation
119;Jardinier - Paysagiste;2;Jardinage - Paysagisme
120;Luthier;2;Lutherie
121;Maçon;2;Maçonnerie
122;Maison individuelle;2;Maison individuelle
123;Menuisier - Ebéniste;2;Menuiserie - Ebénisterie
124;Soudeur - Chaudronnier - Métallier;2;Travail du métal
125;Orfèvre;2;Orfèvrerie
126;Parqueteur;2;Parquet
127;Peintre;2;Peinture
128;Plaquiste;2;Plaquisterie
129;Plâtrier - Plaquiste;2;Plaquisterie
130;Plombier;2;plomberie
131;Pyrotechnicien;2;feux d'artifices
132;Ramoneur - Bois de chauffage;2;Cheminée
133;Serrurier;2;Serrure
134;Solier - Moquettiste;2;Sol et moquette
627;Terrassier;2;Terasse
136;Tapissier - Sellier;2;Papier peint
137;Terrassement;2;Terrassement
138;Tourneur;2;Tourneur
139;Traitement (bois, humidité, eau, …);2;Traitement (bois, humidité, eau, …)
140;Vitrier - Miroitier;2;Vitre et miroir
141;Autres Artisanat & Bâtiment;2;Autres Artisanat & Bâtiment
100;Carreleur;2;Carrelage
99;Architecte d'intérieur;2;Architecture d'intérieur
98;Architecte;2;Architecture
97;Anti-nuisibles;2;Anti-nuisibles
594;Multi-service;2;Multi-service
593;Designer - Ingénieur (industriel & bâtiment);2;design industriel et bâtiment
592;Zingueur;2;Zinguerie
591;Climatisation - Froid;2;Climatisation - Froid
63;Maraicher;2;Maraicher
35;Contrôle technique;2;Contrôle technique
696;Bijoutier (artisan);2;Bijoux (confection)
612;Agencement - Aménagement;2;Agencement - Aménagement
613;Agriculture;2;Agriculture
614;Alarme - Sécurité;2;Alarme - Sécurité
615;Apiculture;2;Apiculture
616;Assainissement;2;Assainissement
617;Clôtures;2;Clôtures
618;Construction;2;Construction
619;Energie solaire - renouvelable;2;Energie solaire - renouvelable
620;Environnement;2;Environnement
621;Fenêtrier - Portes;2;Fenêtre et porte
622;Maison - Structure en bois;2;Maison - Structure en bois
623;Pisciniste;2;Piscine
624;Poterie - Céramique - Verrerie;2;Poterie
625;Rénovation (bâtiment);2;Rénovation (bâtiment)
626;Salle de bain (installation);2;Salle de bain (installation)
135;Structure Métallique;2;Structure Métallique
169;Enseignement supérieur;3;Enseignement supérieur
170;Gériâtre;3;gériâtrie
171;Gynécologue;3;Gynécologie
172;Homéopathe;3;Homéopathie
173;Hôpital;3;Hôpital
174;Jardin botanique;3;Jardin botanique
175;Massage;3;Massage
